yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx
201601,"1,940.24",43.5506,86.5,0.33191063,0.0026,0.04,0.0545,0.0236,-0.020954662,0.0001,0.001653102,0.0476,0.0067,0.004301314,NaN,-0.0491,-0.05025
201602,"1,932.23",43.7133,86.47,0.330901825,0.0031,0.0396,0.0534,0.0217,-0.024726502,0.0002,0.000823077,0.0294,0.0232,0.002601544,NaN,-0.001742,-0.004457
201603,"2,059.74",43.8759,86.44,0.327954791,0.0029,0.0382,0.0513,0.0218,-0.023715134,0.0002,0.004306,-0.0003,0.0423,0.001274157,NaN,0.06734,0.065146
201604,"2,065.30",44.0706,86.6,0.326320889,0.0023,0.0362,0.0479,0.0223,-0.024215916,0.0001,0.004741068,-0.0053,0.0146,0.000817764,NaN,0.003747,0.002576
201605,"2,096.95",44.2652,86.76,0.326072119,0.0027,0.0365,0.0468,0.0219,-0.027053686,0.0001,0.004045791,0.0082,0.0016,0.000995569,NaN,0.018487,0.015886
201606,"2,098.86",44.4599,86.92,0.323475362,0.0027,0.035,0.0453,0.0179,-0.028684678,0.0002,0.003284366,0.059,0.0377,0.002864409,NaN,0.002675,0.001002
201607,"2,173.60",44.6485,87.6433,0.314661159,0.003,0.0328,0.0422,0.0175,-0.031674661,0.0002,-0.001618136,0.0081,0.0245,0.000477664,NaN,0.036571,0.035324
201608,"2,170.95",44.8371,88.3667,0.315197425,0.003,0.0332,0.0424,0.0186,-0.030781761,0.0002,0.00091843,-0.014,0.0016,0.000279163,NaN,0.001247,-0.001396
201609,"2,168.27",45.0257,89.09,0.316793887,0.0029,0.0341,0.0431,0.0196,-0.032603227,0.0002,0.002403996,-0.0124,-0.0119,0.001673113,NaN,0.000446,-0.001033
201610,"2,126.15",45.2507,90.91,0.319687782,0.0033,0.0351,0.0438,0.022,-0.029033999,0.0002,0.001246749,-0.0314,-0.0263,0.000364052,NaN,-0.017958,-0.019206
201611,"2,198.81",45.4756,92.73,0.303285786,0.0045,0.0386,0.0471,0.0267,-0.02745248,0.0001,-0.001555461,-0.0599,-0.051,0.000946372,NaN,0.03579,0.033007
201612,"2,238.83",45.7006,94.55,0.293479097,0.0051,0.0406,0.0483,0.0272,-0.025103574,0.0003,0.000327321,-0.0057,0.0059,0.000524022,NaN,0.019195,0.017569
201701,"2,278.87",45.9279,96.4633,0.29197965,0.0051,0.0392,0.0466,0.0278,-0.022657606,0.0004,0.005827728,0.0043,-0.0021,0.000335571,NaN,0.019384,0.018311
201702,"2,363.64",46.1552,98.3767,0.278677833,0.0052,0.0395,0.0464,0.027,-0.018708852,0.0004,0.003146117,0.0137,0.0212,0.000223913,NaN,0.039459,0.037052
201703,"2,362.72",46.3824,100.29,0.281598889,0.0074,0.0401,0.0468,0.0274,-0.016198861,0.0003,0.000812798,-0.004,-0.0062,0.000575304,NaN,0.001664,0.000055
201704,"2,384.20",46.6613,101.5333,0.277870026,0.008,0.0387,0.0457,0.0265,-0.015574558,0.0005,0.002965533,0.0145,0.0176,0.000390547,NaN,0.010591,0.009439
201705,"2,411.80",46.9402,102.7767,0.276968767,0.0089,0.0385,0.0455,0.0256,-0.01018614,0.0006,0.000854722,0.0158,0.0226,0.000503099,NaN,0.014552,0.01192
201706,"2,423.41",47.219,104.02,0.272545228,0.0098,0.0368,0.0437,0.0258,-0.009784006,0.0006,0.000907111,-0.001,0.0108,0.00044756,NaN,0.005798,0.004364
201707,"2,470.30",47.537,105.04,0.265803679,0.0107,0.037,0.0439,0.0262,-0.013163551,0.0007,-0.000689923,-0.0027,0.006,0.000258844,NaN,0.020696,0.019162
201708,"2,471.65",47.8551,106.06,0.265113614,0.0101,0.0363,0.0431,0.0242,-0.012212825,0.0009,0.002994452,0.0289,0.0153,0.000753376,NaN,0.002238,-0.000324
201709,"2,519.36",48.1731,107.08,0.259706167,0.0103,0.0363,0.043,0.0259,-0.01108518,0.0009,0.005294906,-0.0205,-0.0037,0.000257247,NaN,0.02005,0.018742
201710,"2,575.26",48.4261,108.0133,0.248906199,0.0107,0.036,0.0432,0.0261,-0.012378069,0.0009,-0.000632042,-0.0013,0.0076,0.000218153,NaN,0.024158,0.023006
201711,"2,584.84",48.679,108.9467,0.239727101,0.0123,0.0357,0.0427,0.026,-0.012192513,0.0008,2.43247E-05,0.0036,0.002,0.000355337,NaN,0.031389,0.02886
201712,"2,673.61",48.932,109.88,0.235393343,0.0132,0.0351,0.0422,0.0254,-0.019878875,0.0009,-0.000587832,0.0102,0.0256,0.000244113,NaN,0.011149,0.009851
201801,"2,823.81",49.289,111.7333,0.222519149,0.0141,0.0355,0.0426,0.0284,-0.019043602,0.0011,0.005447746,-0.0315,-0.0243,0.000774262,NaN,0.05806,0.057018
201802,"2,713.83",49.646,113.5867,0.232478066,0.0157,0.0382,0.0451,0.0301,-0.018319798,0.0011,0.00453469,-0.0224,-0.0313,0.005361663,NaN,-0.037661,-0.039702
201803,"2,640.87",50.003,115.44,0.259461538,0.017,0.0387,0.0464,0.0285,-0.018221349,0.0012,0.002261126,0.0259,0.0124,0.00324674,NaN,-0.025459,-0.027092
201804,"2,648.05",50.3321,117.7867,0.258816835,0.0176,0.0385,0.0467,0.03,-0.018605663,0.0014,0.003975092,-0.0177,-0.02,0.002362669,NaN,0.00377,0.002656
201805,"2,705.27",50.6612,120.1333,0.256138228,0.0186,0.04,0.0483,0.0289,-0.018933503,0.0014,0.004158917,0.0164,0.014,0.000922712,NaN,0.0238,0.021317
201806,"2,718.37",50.9903,122.48,0.25766241,0.019,0.0396,0.0483,0.0291,-0.022101276,0.0014,0.001593876,0.0007,-0.0124,0.000622866,NaN,0.00684,0.005507
201807,"2,816.29",51.4399,125.1167,0.246066624,0.0196,0.0387,0.0479,0.0302,-0.017095922,0.0016,6.74633E-05,-0.0131,0.0101,0.000654429,NaN,0.037144,0.03597
201808,"2,901.52",51.8894,127.7533,0.240857822,0.0203,0.0388,0.0477,0.0293,-0.02145123,0.0016,0.000555542,0.0152,0.0058,0.000471274,NaN,0.032938,0.030647
201809,"2,913.98",52.339,130.39,0.236365437,0.0213,0.0398,0.0488,0.0334,-0.020834449,0.0015,0.001162025,-0.0518,-0.012,0.000230074,NaN,0.005138,0.003758
201810,"2,711.74",52.8087,131.0567,0.249000229,0.0225,0.0414,0.0507,0.0352,-0.021216895,0.0019,0.001766764,-0.0204,-0.0323,0.004577602,NaN,-0.068409,-0.069492
201811,"2,760.17",53.2785,131.7233,0.2448789,0.0233,0.0422,0.0522,0.0317,-0.024593067,0.0018,-0.003349349,0.0505,0.0071,0.002837642,NaN,0.019752,0.017259
201812,"2,506.85",53.7482,132.39,0.268088768,0.0237,0.0402,0.0513,0.0284,-0.019227909,0.0019,-0.003193963,0.0481,0.037,0.006793103,NaN,-0.090646,-0.092188
201901,"2,704.10",54.1444,133.0567,0.250156503,0.0237,0.0393,0.0512,0.0271,-0.019304705,0.0021,0.001906597,0.008,0.0277,0.003011395,NaN,0.081409,0.080024
201902,"2,784.49",54.5407,133.7233,0.241311545,0.0239,0.0379,0.0495,0.0268,-0.023159336,0.0018,0.004227053,-0.0091,-0.0074,0.000532403,NaN,0.031708,0.029398
201903,"2,834.40",54.9369,134.39,0.253088089,0.024,0.0377,0.0484,0.0257,-0.023231494,0.0019,0.005641358,0.0447,0.0485,0.001107068,NaN,0.019531,0.018007
201904,"2,945.83",55.317,134.6833,0.246766524,0.0238,0.0369,0.047,0.0253,-0.021699695,0.0021,0.005295002,-0.0126,-0.0089,0.000374438,NaN,0.040629,0.039469
201905,"2,752.06",55.6972,134.9767,0.264446088,0.0235,0.0367,0.0463,0.024,-0.020358318,0.0021,0.002128759,0.053,0.0376,0.001831636,NaN,-0.063187,-0.065503
201906,"2,941.76",56.0773,135.27,0.246701114,0.0217,0.0342,0.0446,0.0207,-0.012538347,0.0018,0.000199147,0.0104,0.0337,0.001064814,NaN,0.069561,0.068056
201907,"2,980.38",56.458,134.48,0.244273904,0.021,0.0329,0.0428,0.0206,-0.012604296,0.0019,0.001670942,0.0024,0.0084,0.000593538,NaN,0.014603,0.013367
201908,"2,926.46",56.8388,133.69,0.248538825,0.0195,0.0298,0.0387,0.0163,-0.010142435,0.0016,-5.06682E-05,0.0797,0.0738,0.004317881,NaN,-0.016085,-0.018377
201909,"2,976.74",57.2195,132.9,0.24379691,0.0189,0.0303,0.0391,0.017,-0.010838109,0.0018,0.000783449,-0.0192,-0.019,0.000605425,NaN,0.018791,0.017272
201910,"3,037.56",57.5599,135.09,0.242630484,0.0165,0.0301,0.0392,0.0171,-0.01315741,0.0015,0.002286191,-0.0052,0.0006,0.001510308,NaN,0.021621,0.020441
201911,"3,140.98",57.9003,137.28,0.233936189,0.0154,0.0306,0.0394,0.0181,-0.007796238,0.0012,-0.000536243,-0.0059,0.0014,0.000306363,NaN,0.036206,0.033979
201912,"3,230.78",58.2406,139.47,0.229943898,0.0154,0.0301,0.0388,0.0186,-0.007199156,0.0014,-0.00090977,-0.0253,-0.0089,0.000502373,NaN,0.029787,0.028136
